,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
rings,524318.0,8.161526020468495,1.2832027148537088,3.0,5.0,6.0,7.0,8.0,9.0,10.0,10.0,10.0
aromatic_rings,524318.0,7.058411116917596,1.47467924312313,0.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,10.0
heteroatoms,524318.0,4.838824911599449,2.1550687308486394,0.0,1.0,2.0,3.0,5.0,6.0,9.0,10.0,17.0
heterocycles,524318.0,3.6691835870597616,1.4775352482371307,0.0,1.0,1.0,3.0,4.0,5.0,6.0,7.0,10.0
branch,524318.0,0.31663608726002157,0.5300936711244968,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
non_benzene_ring_count,524318.0,4.078151045739418,1.5010666805120207,0.0,1.0,2.0,3.0,4.0,5.0,7.0,8.0,10.0
antiaromatic_ring_count,524318.0,1.1864574552084803,1.0193986232257826,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,8.0
heterocycle_fraction,524318.0,0.45143115467851597,0.17122784705986413,0.0,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.4444444444444444,0.5714285714285714,0.75,0.8571428571428571,1.0
heteroatom_density,524318.0,0.10555332164279656,0.04826028276270795,0.0,0.017543859649122806,0.03508771929824561,0.07017543859649122,0.10204081632653061,0.13636363636363635,0.19148936170212766,0.23404255319148937,0.3793103448275862
homo,524318.0,-10.33257073812627,0.41215829607132365,-11.65839409,-11.0691279201,-10.925676535000001,-10.65505504,-10.38296774,-10.03053319,-9.610254341500001,-9.3433530626,-8.55910271
lumo,524318.0,-9.048275615610983,0.46762842460254467,-10.62988217,-10.0079126375,-9.769916931,-9.391029657499999,-9.087441345,-8.7124609225,-8.2467847445,-7.9737460202,-5.95941499
gap,524318.0,1.2842951225152865,0.5212328923322104,0.0032245599999995,0.20822640509999946,0.4348185884999988,0.9092552775000002,1.2801140050000006,1.6319459175,2.1837330909999997,2.4902409515000006,3.82166063
aip,524318.0,11.991563569837266,0.42373115547484047,7.391247816594037,10.913246129986495,11.236963847994446,11.717731502586524,12.037552461038194,12.29517727490851,12.605299355692406,12.845909667552242,14.56329420048814
aea,524318.0,-7.407122691083104,0.5108533857248996,-11.312761039426272,-8.548382035028325,-8.199227317991495,-7.747592188239338,-7.420062648338908,-7.06374358329538,-6.573800203806338,-6.214521180631836,-3.772616251627943
nfod,524285.0,1.3849945249244209,0.5365311064478573,0.0761,0.427084,0.6176,0.9913,1.3225,1.7158,2.3624,2.8626,4.5112
