ring_type,single_non_benzene_type_molecules,mean_homo,mean_lumo,mean_gap,mean_aip,mean_aea,mean_nfod
cyclobutadiene,1842,-10.42084365878393,-8.847496022003257,1.5733476367806731,12.092863556213695,-7.217218148315579,1.0095301302931596
pyrrole,2282,-10.440728514198073,-8.355826010959685,2.0849025032383874,12.117721224479222,-6.6935268256207605,0.6438299737072744
borole,2303,-10.717296526474165,-9.341009695514547,1.376286830959618,12.36946997651568,-7.592860130226441,1.1638258358662614
furan,2389,-10.744697887593134,-8.554335283917958,2.190362603675178,12.42462295440904,-6.884382847159795,0.5995957722896609
thiophene,2380,-10.658163865197478,-8.536306113768907,2.1218577514285717,12.324498340336081,-6.883836715941689,0.661024705882353
dhdiborinine,1582,-10.891184824690265,-9.381175434816688,1.5100093898735778,12.440495211599472,-7.772370490110835,1.192617572692794
14diborinine,1795,-9.807788187894149,-8.568078098618384,1.2397100892757658,11.520989930620608,-7.0613279795270065,1.389443955431755
pyrazine,1900,-10.78349709663158,-9.154886543031578,1.6286105536,12.389746532053257,-7.504790485193602,1.1782921578947367
pyridine,2476,-10.82941549796042,-8.828828724293214,2.000586773667205,12.458091429408078,-7.19788408153608,0.8158922455573505
borinine,2424,-10.408222935437292,-8.585803623432344,1.8224193120049503,12.075714134211577,-6.977970150820682,0.8647111386138614
