property,bin_midpoint,bin_left,bin_right,molecule_count,cyclobutadiene,borinine,14diborinine,dhdiborinine,borole,pyridine,pyrazine,pyrrole,furan,thiophene
homo,-11.0305,-11.07,-10.991,8265,0.02823029796714007,0.014480646059593427,0.000278473962684489,0.21164021164021163,0.11915204678362573,0.21626984126984128,0.1525689223057644,0.01455026455026455,0.15618908382066277,0.08664021164021164
homo,-10.9515,-10.991,-10.912,16053,0.03943321616871705,0.021510691271236088,0.0005309021675454013,0.1830697129466901,0.1237002050380785,0.19434680726420622,0.16721587580550673,0.025391769185705917,0.14338019917984768,0.10142062097246632
homo,-10.873000000000001,-10.912,-10.834,23918,0.04980508946514612,0.03628241446938331,0.0012227306844870584,0.16005665722379603,0.1266797414106196,0.17097648967337353,0.16361589307764945,0.040338006343672066,0.14028716011718845,0.1107358175346844
homo,-10.7945,-10.834,-10.755,30774,0.060191668726144384,0.05480041372619015,0.0027825832257828303,0.13839690254551446,0.1329964943112649,0.15000320363200337,0.1568315164163257,0.05863561889593688,0.12914298267292748,0.11621861584790986
homo,-10.716000000000001,-10.755,-10.677,36242,0.07052395209580839,0.07428892215568862,0.005523952095808383,0.12273952095808384,0.13282934131736526,0.13673652694610777,0.14553892215568862,0.07668413173652694,0.11911676646706587,0.11601796407185629
homo,-10.6375,-10.677,-10.598,39270,0.08303195608984072,0.0948109236623228,0.010701417651614642,0.11352661885038892,0.12573660639121798,0.12100885611341212,0.13136007004074485,0.09253459945449036,0.11258376266962992,0.11470518907633767
homo,-10.559000000000001,-10.598,-10.52,39424,0.09776781934122337,0.11155041132830056,0.018074996580406053,0.10281579135917461,0.12305978752922939,0.10587062861907026,0.11478111341978935,0.1044050883557941,0.10927068202987096,0.11240368143714136
homo,-10.481,-10.52,-10.442,37222,0.1107981220657277,0.12404426559356137,0.027820254862508383,0.09287726358148893,0.1186317907444668,0.09778001341381623,0.10238095238095238,0.11569416498993963,0.10098591549295774,0.10898725687458082
homo,-10.4025,-10.442,-10.363,34283,0.12287433628318584,0.13166725663716813,0.04248495575221239,0.08426194690265487,0.11510088495575221,0.08895575221238938,0.09095929203539822,0.12181238938053097,0.09639646017699115,0.10548672566371682
homo,-10.324,-10.363,-10.285,31481,0.1319757093498063,0.13278340338334058,0.061825986807664116,0.07879504016034222,0.10829082968126,0.08576514052380453,0.08572774728151128,0.12178979014912425,0.09441045814200458,0.09863589452114215
homo,-10.2455,-10.285,-10.206,29258,0.13226208113986698,0.129141317025502,0.08891813510702014,0.07337736027487943,0.1025911799010182,0.08621504901806261,0.08214859880843552,0.11789553320934337,0.09199161491662201,0.09545913059924975
homo,-10.167,-10.206,-10.128,28225,0.13050975841673515,0.12255636674241326,0.11946203806668923,0.07015423294493062,0.09685087592064336,0.0834018275878741,0.0805734177827201,0.11041273831971507,0.09155667295202179,0.09452207126625731
homo,-10.0885,-10.128,-10.049,27224,0.12652491283226167,0.11655810764484059,0.14898367015895048,0.06863048404224187,0.08991028203048572,0.08427468916444393,0.07730963151249613,0.10490229688035653,0.08877312976077996,0.09413279597314314
homo,-10.01,-10.049,-9.971,26330,0.1192817145494605,0.10881397556366423,0.17832603262242117,0.06366858546186067,0.0844124742007681,0.08293201194820124,0.07336125891543077,0.10370202649156572,0.08986405873080842,0.09563786151581917
homo,-9.9315,-9.971,-9.892,24238,0.11116452689327527,0.10800671153592369,0.20553136134834002,0.05963086552419735,0.07793676828233698,0.07985031012574703,0.0699809588447109,0.10646079595799635,0.08544954093848388,0.09598816054898855
homo,-9.853,-9.892,-9.814,21556,0.10621772534531257,0.10932448885343633,0.22348755195432218,0.05471472354003107,0.07124564423359503,0.07647256391956002,0.06701582770057517,0.11191695705109367,0.08462781812838491,0.09497669927368907
homo,-9.775,-9.814,-9.736,17848,0.10139477556564501,0.1089031706304788,0.24372728301744412,0.0480059362855454,0.06459483593465055,0.07415326181283093,0.06345034020450001,0.11619775880066908,0.08299480575014778,0.09657783199808831
homo,-9.6965,-9.736,-9.657,14421,0.09944025235032163,0.11477919346857991,0.2563551459673429,0.0407749876298862,0.058603414151410196,0.06908708560118754,0.05608300346363187,0.12634524987629886,0.07958621969322117,0.09894544779811974
homo,-9.618,-9.657,-9.579,10854,0.09668892879481851,0.11692661568572063,0.2717055749480438,0.035774096567865864,0.05346946187526482,0.06692762454349185,0.05007969976392728,0.13224107665301346,0.07754080829684631,0.09864611287100744
homo,-9.5395,-9.579,-9.5,7855,0.0933832709113608,0.12173671799139964,0.28600360660285756,0.0299625468164794,0.04866139547787488,0.062421972534332085,0.04774587321403801,0.14032459425717853,0.07443473435982799,0.09532528783465113
homo,-9.461,-9.5,-9.422,5452,0.08973053423155256,0.12705624314585617,0.298253172489425,0.026907410308632303,0.042691524361585464,0.06031646561178129,0.040929030236565876,0.15251449161836128,0.06873727087576374,0.09286385712047626
homo,-9.3825,-9.422,-9.343,3637,0.0853345768244346,0.12019118675681977,0.326299836791793,0.02209139659594311,0.0382373513639543,0.0553159244579156,0.03631382606668221,0.15551410585218,0.06773140592212637,0.09297038936815108
lumo,-9.962,-10.008999999999999,-9.915,5238,0.09070051437664212,0.05835769529659919,0.03241683010768605,0.2097102468267772,0.21074640121378085,0.09391999407911779,0.14435850941790326,0.030640565444251193,0.07127261962032343,0.05787662361691892
lumo,-9.869,-9.915,-9.823,8731,0.09283421471953444,0.06138142853843845,0.038288340299748286,0.21328776297254232,0.1928965660577789,0.09742973927903378,0.13056832090155415,0.03625614853474355,0.07320508971664781,0.06385238897997829
