ring_type,heteroatom,fraction
cyclobutadiene,b,0.4906493453522046
cyclobutadiene,n,0.3370327221927642
cyclobutadiene,o,0.08527883713341763
cyclobutadiene,s,0.08703909532161358
pyrrole,b,0.4135831075871773
pyrrole,n,0.4421556194994123
pyrrole,o,0.07153976432522613
pyrrole,s,0.07272150858818424
borole,b,0.5720538195383895
borole,n,0.2839573764195216
borole,o,0.07138802503599534
borole,s,0.07260077900609348
furan,b,0.4121967958021897
furan,n,0.2843880075959565
furan,o,0.23036592305577402
furan,s,0.07304927354607979
thiophene,b,0.41359234318244625
thiophene,n,0.28408251525910266
thiophene,o,0.07201539937398015
thiophene,s,0.23030974218447098
dhdiborinine,b,0.6380375574267922
dhdiborinine,n,0.23915136301044346
dhdiborinine,o,0.06018693410999135
dhdiborinine,s,0.06262414545277294
14diborinine,b,0.6294238766273841
14diborinine,n,0.24636869250888999
14diborinine,o,0.06151916125429806
14diborinine,s,0.0626882696094278
pyrazine,b,0.3551213324789389
pyrazine,n,0.5201681312756353
pyrazine,o,0.062073449692822615
pyrazine,s,0.06263708655260312
pyridine,b,0.41458833361681396
pyridine,n,0.4420702066048889
pyridine,o,0.07100350046091852
pyridine,s,0.07233795931737862
borinine,b,0.57256206116269
borinine,n,0.28418667432032213
borinine,o,0.07155751888456291
borinine,s,0.07169374563242488
