variant,molecules,variant_label,element,positions,mean_homo,mean_lumo,mean_gap,mean_aip,mean_aea,mean_nfod,ring_type
cyclobutadiene__none_none,178355,Cyclobutadiene (cbd),none,none,-10.24704095805859,-9.07670088924084,1.170340068817751,11.902425925556358,-7.447909146577601,1.5006549314254316,cyclobutadiene
pyrrole__N_1,110327,Pyrrole (pyl) [N:1],N,1,-10.216288899360174,-8.887369213653413,1.3289196857067627,11.877824819403818,-7.228601747024258,1.3016209093628477,pyrrole
pyrrole__N_3,78884,Pyrrole (pyl) [N:3],N,3,-10.219642761481415,-8.87759701051823,1.3420457509631865,11.875575536545446,-7.22089702091933,1.2885213478872704,pyrrole
pyrrole__N_2,11832,Pyrrole (pyl) [N:2],N,2,-10.076651052078262,-8.779730722371534,1.2969203297067275,11.76987976676824,-7.114984023933379,1.3170030515638207,pyrrole
borole__B_1,110585,Borole (bor) [B:1],B,1,-10.399162052376273,-9.313446310182574,1.0857157421936972,12.043499663180192,-7.648333830914879,1.5917082739473303,borole
borole__B_3,77930,Borole (bor) [B:3],B,3,-10.395120672932375,-9.3334773606869,1.0616433122454767,12.033101091152549,-7.668956164983585,1.610895580422452,borole
borole__B_2,11545,Borole (bor) [B:2],B,2,-10.345174391240365,-9.631607133463838,0.7135672577765266,12.015125042165673,-7.9179341320672245,2.034565323977824,borole
furan__O_1,108943,Furan (fur) [O:1],O,1,-10.377138705811111,-9.006992971895578,1.3701457339155336,12.051134206034028,-7.341447236576052,1.264388413979235,furan
furan__O_3,78172,Furan (fur) [O:3],O,3,-10.371766157299929,-8.98915777152062,1.3826083857793072,12.03946484850604,-7.327536957890746,1.253263722078653,furan
furan__O_2,12208,Furan (fur) [O:2],O,2,-10.316472622966087,-8.98939719408093,1.3270754288851572,12.01104053602638,-7.3188895365897135,1.3068138281314001,furan
thiophene__S_1,112044,Thiophene (thi) [S:1],S,1,-10.323453715161099,-8.983957236426226,1.339496478734872,11.988707610124246,-7.32807385323903,1.3125061274400422,thiophene
thiophene__S_3,77458,Thiophene (thi) [S:3],S,3,-10.323658690381368,-8.973701372917839,1.3499573174635286,11.980752290160188,-7.324064161536037,1.3024488825192702,thiophene
thiophene__S_2,12448,Thiophene (thi) [S:2],S,2,-10.258629848248715,-8.96775593377651,1.2908739144722043,11.941423330413203,-7.305789133916471,1.3666686028761952,thiophene
dhdiborinine__B_1_4,160465,"Dhydrodiborinine (dhdb) [B:1,4]",B,"1,4",-10.45583045423033,-9.403233863791295,1.0525965904390366,12.07280942884191,-7.776390444130048,1.6520689855036335,dhdiborinine
14diborinine__B_1_4,180787,"DiBorinine (dbrn) [B:1,4]",B,"1,4",-9.942856581774132,-8.947133726902155,0.9957228548719763,11.61898118121615,-7.370143156530368,1.6742506552344076,14diborinine
pyrazine__N_1_4,175284,"Pyrazine (pyz) [N:1,4]",N,"1,4",-10.422430349249161,-9.211800343996714,1.2106300052524475,12.066172679735834,-7.572415797703716,1.5504689718719689,pyrazine
pyridine__N_1,89464,Pyridine (pyd) [N:1],N,1,-10.413527345551172,-9.10955128444391,1.303976061107261,12.061500347880708,-7.480809811842252,1.413193386914676,pyridine
pyridine__N_4,80891,Pyridine (pyd) [N:4],N,4,-10.405488058739786,-9.099936525233709,1.3055515335060761,12.047441671044306,-7.47366255585488,1.410921385389494,pyridine
pyridine__N_2,25880,Pyridine (pyd) [N:2],N,2,-10.4447844653864,-9.113061658975656,1.3317228064107418,12.102504949715854,-7.471114451856183,1.3803280370942814,pyridine
pyridine__N_3,8059,Pyridine (pyd) [N:3],N,3,-10.471141645298424,-9.102429768285146,1.3687118770132771,12.117399389037462,-7.46861254253156,1.3481540141456756,pyridine
borinine__B_1,91475,Borinine (brn) [B:1],B,1,-10.22770606109385,-8.977662145807598,1.250043915286253,11.865352698928152,-7.366176509117131,1.438968340093365,borinine
borinine__B_4,81169,Borinine (brn) [B:4],B,4,-10.227536643049195,-8.99203539215045,1.2355012508987422,11.859666882571558,-7.395601896388334,1.4485384084664952,borinine
borinine__B_2,26058,Borinine (brn) [B:2],B,2,-10.217684610791311,-8.951708699686469,1.265975911104843,11.874567042127486,-7.329944036751985,1.4109895758971407,borinine
borinine__B_3,7926,Borinine (brn) [B:3],B,3,-10.233119423469594,-8.920103309081505,1.3130161143880898,11.87702748053483,-7.299373915688251,1.3751979560938683,borinine
