ring_type,total_ring_instances,molecules_with_ring,fraction_of_molecules,mean_count_when_present
benzene,2148974,521450,0.9945300371148806,4.121150637645028
borinine,221433,184528,0.3519390903993378,1.1999967484609382
thiophene,219192,182846,0.3487311135608543,1.1987793006136311
pyridine,218636,182607,0.3482752833204277,1.1973034987705837
pyrrole,217862,182161,0.34742465450356463,1.1959859684564753
borole,217258,181013,0.3452351435579171,1.2002342373199715
furan,216174,180561,0.3443730713040559,1.19723528336684
cyclobutadiene,214429,178355,0.3401657009677333,1.2022595385607355
14diborinine,213336,180057,0.34341182259621067,1.1848248054782653
pyrazine,209534,175284,0.33430856846417634,1.1953971839985396
dhdiborinine,190394,160773,0.30663261608413217,1.1842411350164517
