property,antiaromatic_ring_count_group,molecules,mean,median
homo,0,142898,-10.30235062136202,-10.36607484
homo,1,198085,-10.325825118305072,-10.36973322
homo,2,118965,-10.358536158524691,-10.38939414
homo,3+,53882,-10.409324270193942,-10.437790455
lumo,0,142024,-8.68730265723751,-8.646490414999999
lumo,1,200635,-9.051780017834526,-9.08361086
lumo,2,119628,-9.284788654699735,-9.315045765
lumo,3+,51543,-9.49466191996178,-9.53092751
gap,0,141124,1.5962117484290412,1.6480153349999993
gap,1,199925,1.2801973856502689,1.3190806599999991
gap,2,119277,1.0833968261939015,1.1057234300000012
gap,3+,53504,0.9031772859945052,0.8959411900000003
aip,0,142919,11.977886087292852,12.026505176866095
aip,1,197439,11.990526525633653,12.033883275861967
aip,2,119241,12.005076816802188,12.042048600659816
aip,3+,54231,12.025212202189373,12.058983615450217
aea,0,141342,-7.0557470205509505,-7.027267858079796
aea,1,199745,-7.377577578397949,-7.395346397662021
aea,2,120017,-7.642589418651523,-7.668357013291907
aea,3+,52726,-7.905322964747188,-7.943218820464024
