property,bin_midpoint,bin_left,bin_right,molecule_count,b,n,o,s
homo,-11.0305,-11.07,-10.991,8265,0.20412406365105387,0.28583836905849747,0.3296784379465394,0.18035912934390927
homo,-10.9515,-10.991,-10.912,16053,0.18820026042928892,0.29645668126952585,0.30356885465780037,0.21177420364338473
homo,-10.873000000000001,-10.912,-10.834,23918,0.1792796206600586,0.2896430764340774,0.2986125816021337,0.23246472130373033
homo,-10.7945,-10.834,-10.755,30774,0.1783541171652365,0.288589143319863,0.28240949345473393,0.25064724606016653
homo,-10.716000000000001,-10.755,-10.677,36242,0.18220022522005383,0.2887620838480949,0.2698380810808673,0.259199609850984
homo,-10.6375,-10.677,-10.598,39270,0.19035690527813567,0.2815509491861664,0.26341192209019804,0.26468022344549996
homo,-10.559000000000001,-10.598,-10.52,39424,0.19966442407580554,0.26850123054507774,0.26400205097033347,0.26783229440878326
homo,-10.481,-10.52,-10.442,37222,0.21092452316584917,0.26543401628005653,0.25365647069378455,0.2699849898603097
homo,-10.4025,-10.442,-10.363,34283,0.224572702326806,0.25675734106477394,0.24945246162083862,0.2692174949875814
homo,-10.324,-10.363,-10.285,31481,0.23966558327677245,0.2533030464453541,0.24972350447783487,0.2573078658000386
homo,-10.2455,-10.285,-10.206,29258,0.2568538373089777,0.2477448343886124,0.2448353468067215,0.25056598149568826
homo,-10.167,-10.206,-10.128,28225,0.2745032398445456,0.23707195541312948,0.24201323274234776,0.24641157199997718
homo,-10.0885,-10.128,-10.049,27224,0.29309959439435745,0.22871976692496734,0.23374060082508855,0.24444003785558663
homo,-10.01,-10.049,-9.971,26330,0.3044342438237168,0.21826929555886992,0.23287331974335504,0.2444231408740583
homo,-9.9315,-9.971,-9.892,24238,0.32122746115790995,0.21312553040972393,0.22090935216948582,0.24473765626288022
homo,-9.853,-9.892,-9.814,21556,0.3298320994808587,0.21017500220030197,0.21833366516290917,0.24165923315593024
homo,-9.775,-9.814,-9.736,17848,0.3369463562034146,0.2056867875499323,0.21296263299657628,0.24440422325007694
homo,-9.6965,-9.736,-9.657,14421,0.34316154229282025,0.20028135985948928,0.205089995678719,0.25146710216897133
homo,-9.618,-9.657,-9.579,10854,0.3523121801319834,0.19558072654842334,0.200520577985936,0.2515865153336572
homo,-9.5395,-9.579,-9.5,7855,0.3634155437791967,0.1967572877177323,0.19435382600186865,0.24547334250120234
homo,-9.461,-9.5,-9.422,5452,0.3773066910106543,0.197480969722675,0.18230712568619561,0.2429052135804752
homo,-9.3825,-9.422,-9.343,3637,0.3910301673819932,0.18877408241212526,0.17852304476401237,0.24167270544186922
lumo,-9.962,-10.008999999999999,-9.915,5238,0.35956338438885305,0.2872982017467781,0.1960937916194464,0.15704462224492244
lumo,-9.869,-9.915,-9.823,8731,0.3576988653276959,0.2715776488982156,0.19928904847248027,0.1714344373016082
lumo,-9.777000000000001,-9.823,-9.731,13148,0.3511457623866341,0.2684133183701253,0.1993469205714554,0.18109399867178533
lumo,-9.6845,-9.731,-9.638,17770,0.3345944401813458,0.27817683493318224,0.20651371727169618,0.18071500761377576
lumo,-9.591999999999999,-9.638,-9.546,24478,0.3211820411883741,0.2782049354707134,0.21007024060490267,0.19054278273600983
lumo,-9.4995,-9.546,-9.453,31737,0.3078384265805582,0.26607208686994815,0.22074575195054658,0.20534373459894714
