property,bin_midpoint,bin,borinine__B_1,borinine__B_2,borinine__B_3,borinine__B_4,14diborinine__B_1_4,dhdiborinine__B_1_4,borole__B_1,borole__B_2,borole__B_3,pyridine__N_1,pyridine__N_2,pyridine__N_3,pyridine__N_4,pyrazine__N_1_4,pyrrole__N_1,pyrrole__N_2,pyrrole__N_3,thiophene__S_1,thiophene__S_2,thiophene__S_3,furan__O_1,furan__O_2,furan__O_3,cyclobutadiene__none_none
homo,-11.0305,"(-11.07, -10.991]",0.006335282651072124,0.0012531328320802004,0.00034809245335561123,0.006544138123085491,0.0024018379281537175,0.2095168476747424,0.07014062935115567,0.003968253968253968,0.04504316346421609,0.0967000835421888,0.0316067947646895,0.010442773600668337,0.07752018936229463,0.1525689223057644,0.008945976051239209,0.0001392369813422445,0.005465051517683096,0.054058758006126424,0.002018936229462545,0.030562517404622666,0.09537733221943748,0.004699248120300752,0.05611250348092453,0.02823029796714007
homo,-10.9515,"(-10.991, -10.912]",0.00986818015378982,0.0024899304284145,0.0006590992310508971,0.008495056755767118,0.001739289637495423,0.18180153789820577,0.07392896374954229,0.003588429146832662,0.0461918711094837,0.08639692420358842,0.02722445990479678,0.009135847674844379,0.07160380812889051,0.1672281215671915,0.01587330648114244,0.0001830831197363603,0.009337239106554375,0.059154155986818016,0.0030391797876235813,0.03923471255950201,0.0839436103991212,0.005126327352618088,0.054320761625778105,0.03943610399121201
homo,-10.873000000000001,"(-10.912, -10.834]",0.017106123338417958,0.004104016851892206,0.001041137018474129,0.014031137260599017,0.0024696738577758407,0.15880971405050726,0.07355754097963729,0.0035834483426551416,0.049538752088327156,0.0757850899493959,0.022336020919590326,0.007191109174112007,0.0656642696302753,0.16361589307764945,0.02447882617854289,0.0006174184644439602,0.015241761700685214,0.0641025641025641,0.003849785719474105,0.042783467712646184,0.07904166969322776,0.0057625723348102955,0.05548291808915038,0.04980508946514612
homo,-10.7945,"(-10.834, -10.755]",0.025455144575335695,0.006352344600964751,0.0019496389049070489,0.021043285644982656,0.0038992778098140978,0.13728020796148319,0.0772532974526549,0.004064036027130186,0.0516791608314798,0.06687352976174131,0.01875497707114809,0.0058855296519024995,0.05848916714721147,0.1568315164163257,0.03347337781805201,0.0011258478183266056,0.024036393259558263,0.06695590887039936,0.004549157444783114,0.04471354953272739,0.07271329324216712,0.005711618200291073,0.050718071230469286,0.060191668726144384
homo,-10.716000000000001,"(-10.755, -10.677]",0.034012485216844565,0.009079477237683199,0.0025000374257099656,0.0286980344017126,0.0064222518301172175,0.12182817108040539,0.07609395350229795,0.004693184029701043,0.05204419227832752,0.060322759322744356,0.016302639261066783,0.00522462911121424,0.05488854623572209,0.14554110091468436,0.04354855611610952,0.001841344930313328,0.031295378673333436,0.06563721013787631,0.005606371352864564,0.04477611940298507,0.06644560547313583,0.005995598736508031,0.04667734546924355,0.0705250078593991
homo,-10.6375,"(-10.677, -10.598]",0.04178199818163451,0.01221672222783446,0.0036097922349058826,0.03720241101794794,0.01144896790921642,0.11277906859278715,0.0715493147455972,0.005468565848402196,0.04871872579721857,0.05314341515978045,0.014014883658281982,0.004438158736572718,0.04941239855877698,0.13136007004074485,0.052348722093140725,0.0027679563592282047,0.03741792100212143,0.06507054584638179,0.006088157052900966,0.04354648617705492,0.061878304205812036,0.006566319830285887,0.044139138633532006,0.08303195608984072
homo,-10.559000000000001,"(-10.598, -10.52]",0.04998469324613911,0.013678375790577553,0.004474782937203228,0.04341255935438066,0.018843591029590885,0.10204719690998977,0.06873709510379282,0.006572133891758453,0.047750558533678114,0.04660418037218209,0.01303353807473604,0.003829945221361715,0.04240296495079041,0.11478111341978935,0.058927745608264345,0.003419593947644388,0.042057748799885365,0.06291401512437551,0.006357187986477948,0.04313247832628789,0.05978752922938636,0.006591674428602135,0.04289147837188247,0.09776781934122337
homo,-10.481,"(-10.52, -10.442]",0.0547887323943662,0.016130114017437962,0.00482897384305835,0.04829644533869886,0.028430583501006038,0.09226693494299128,0.06587525150905432,0.007209926224010731,0.04554661301140174,0.04383635144198524,0.01118712273641851,0.0033869885982562038,0.03936955063715627,0.10238095238095238,0.0647887323943662,0.005224681421864521,0.04568075117370892,0.061395036887994636,0.0069081153588195846,0.0406841046277666,0.05477531857813548,0.006358148893360161,0.03985244802146211,0.1107981220657277
homo,-10.4025,"(-10.442, -10.363]",0.05898053097345133,0.01577345132743363,0.004849557522123894,0.05206371681415929,0.043044247787610616,0.08370265486725664,0.06300176991150443,0.00727787610619469,0.0448212389380531,0.0392,0.010244247787610619,0.002966371681415929,0.03654513274336283,0.09095929203539822,0.06743362831858407,0.006541592920353982,0.04783716814159292,0.05795398230088496,0.007129203539823009,0.04040353982300885,0.05194336283185841,0.006350442477876106,0.038102654867256634,0.12287433628318584
homo,-10.324,"(-10.363, -10.285]",0.05970249713939557,0.015563183834032593,0.005287444003200885,0.05223127145453322,0.062275171449298124,0.07833942847741057,0.05908924337947694,0.007934905356995954,0.04126749081989036,0.03778989327888837,0.010156080560603681,0.002752163215244591,0.03506764488120078,0.08572838841399116,0.06729338209448595,0.0075310553199763675,0.04696626356450009,0.054654371676650736,0.00637933484403162,0.03760292566915707,0.051775070486788866,0.006154973712354072,0.036481120010769336,0.13197669635712309
