variant,molecules,variant_label,element,positions,mean_homo,mean_lumo,mean_gap,mean_aip,mean_aea,mean_nfod,ring_type
cyclobutadiene__none_none,178355,Cyclobutadiene (Cbd),none,none,-10.24704095805859,-9.07670088924084,1.170340068817751,11.902425925556358,-7.447909146577601,1.5006549314254316,cyclobutadiene
pyrrole__N_1,110432,Pyrrole (Py) [N:1],N,1,-10.216448103817008,-8.887240946131104,1.3292071576859064,11.878035913078152,-7.2284867216032405,1.301318105665435,pyrrole
pyrrole__N_3,78765,Pyrrole (Py) [N:3],N,3,-10.219467283046022,-8.877826924122896,1.3416403589231256,11.875307159221261,-7.221144829233237,1.288989907313357,pyrrole
pyrrole__N_2,11832,Pyrrole (Py) [N:2],N,2,-10.076651052078262,-8.779730722371534,1.2969203297067275,11.76987976676824,-7.114984023933379,1.3170030515638207,pyrrole
pyrrole__N_4,1,Pyrrole (Py) [N:4],N,4,-9.2106931,-8.42215785,0.7885352500000007,10.868991541718296,-6.88911068222797,1.5632,pyrrole
borole__B_1,110582,Borole (Bl) [B:1],B,1,-10.399037836173699,-9.313117132702429,1.0859207034712701,12.04339435983028,-7.647996923204683,1.5915059670986587,borole
borole__B_3,77931,Borole (Bl) [B:3],B,3,-10.395407217032632,-9.333938638755951,1.0614685782766806,12.033338426938153,-7.669433282012979,1.6111255418532728,borole
borole__B_2,11545,Borole (Bl) [B:2],B,2,-10.345174391240365,-9.631607133463838,0.7135672577765266,12.015125042165673,-7.9179341320672245,2.034565323977824,borole
borole__B_4,1,Borole (Bl) [B:4],B,4,-9.67102879,-9.21113623,0.4598925600000001,11.201272124029916,-7.800483326561963,2.7835,borole
furan__O_1,109013,Furan (Fu) [O:1],O,1,-10.377473041397723,-9.007044112019852,1.3704289293778722,12.051543007797212,-7.341302159065327,1.2640620175591497,furan
furan__O_3,78125,Furan (Fu) [O:3],O,3,-10.3713316562784,-8.989133775443712,1.382197880834688,12.038909975632292,-7.327757691081315,1.2536990578476428,furan
furan__O_2,12209,Furan (Fu) [O:2],O,2,-10.316470304846424,-8.989399714115816,1.3270705907306086,12.011041149402365,-7.318890294796626,1.306827244429882,furan
thiophene__S_1,112109,Thiophene (Th) [S:1],S,1,-10.323479260084024,-8.983765825108689,1.3397134349753363,11.988723448600481,-7.3279173348350275,1.3123487377566858,thiophene
thiophene__S_3,77383,Thiophene (Th) [S:3],S,3,-10.323697952278795,-8.973975912920926,1.3497220393578693,11.980794571409433,-7.324294659806341,1.3026128243899917,thiophene
thiophene__S_2,12448,Thiophene (Th) [S:2],S,2,-10.258629848248715,-8.96775593377651,1.2908739144722043,11.941423330413203,-7.305789133916471,1.3666686028761952,thiophene
dhdiborinine__B_1_4,160463,"Dhydrodiborinine (DhDBn) [B:1,4]",B,"1,4",-10.455832232106777,-9.403237400771829,1.0525948313349496,12.07281017102262,-7.776394557740976,1.652070140602797,dhdiborinine
dhdiborinine__B_1_2,3,"Dhydrodiborinine (DhDBn) [B:1,2]",B,"1,2",-10.756353693333333,-9.904362893333333,0.8519908000000012,12.240150676618777,-8.43810892407731,2.5786000000000002,dhdiborinine
dhdiborinine__B_3_4,3,"Dhydrodiborinine (DhDBn) [B:3,4]",B,"3,4",-10.518377433333335,-9.648497003333333,0.8698804300000008,12.121982178864727,-8.139946448608695,2.5058666666666665,dhdiborinine
dhdiborinine__B_2_4,1,"Dhydrodiborinine (DhDBn) [B:2,4]",B,"2,4",-10.72476126,-9.15877481,1.5659864499999987,12.409325492398033,-7.444467600599946,1.122,dhdiborinine
14diborinine__B_1_4,180786,"DiBorinine (DBn) [B:1,4]",B,"1,4",-9.94285808536286,-8.947132266598244,0.9957258187646166,11.618983491732767,-7.370140776145991,1.6742445191233253,14diborinine
14diborinine__B_3_4,1,"DiBorinine (DBn) [B:3,4]",B,"3,4",-9.67102879,-9.21113623,0.4598925600000001,11.201272124029916,-7.800483326561963,2.7835,14diborinine
pyrazine__N_1_4,175283,"Pyrazine (Pz) [N:1,4]",N,"1,4",-10.422434636040004,-9.211800347785525,1.21063428825448,12.066177614045241,-7.5724144965648215,1.5504619367942991,pyrazine
pyrazine__N_1_2,1,"Pyrazine (Pz) [N:1,2]",N,"1,2",-9.67102879,-9.21113623,0.4598925600000001,11.201272124029916,-7.800483326561963,2.7835,pyrazine
pyridine__N_1,89562,Pyridine (Pd) [N:1],N,1,-10.413693432736316,-9.109864478821375,1.3038289539149417,12.061795341344414,-7.481016010649926,1.4134077794030617,pyridine
pyridine__N_4,80850,Pyridine (Pd) [N:4],N,4,-10.405175299048238,-9.099437346960793,1.305737952087446,12.047139200273975,-7.473232029397448,1.4105435630705292,pyridine
pyridine__N_2,25870,Pyridine (Pd) [N:2],N,2,-10.44553207832818,-9.113562373159258,1.3319697051689217,12.10305436427734,-7.471592221730882,1.380449002705837,pyridine
pyridine__N_3,8001,Pyridine (Pd) [N:3],N,3,-10.470893731252342,-9.10307465696163,1.3678190742907135,12.116432511579406,-7.469623426650709,1.3483708911386076,pyridine
borinine__B_1,91576,Borazine (Bz) [B:1],B,1,-10.227778220126453,-8.977795705128308,1.2499825149981436,11.865673658590167,-7.36602747123757,1.4389233122201595,borinine
borinine__B_4,81094,Borazine (Bz) [B:4],B,4,-10.227711751708634,-8.992253309583816,1.235458442124818,11.859558475424713,-7.396028280183317,1.448731724461106,borinine
borinine__B_2,26074,Borazine (Bz) [B:2],B,2,-10.217075185058679,-8.950487076687889,1.266588108370791,11.874082937577269,-7.328914580543566,1.4100906447777224,borinine
borinine__B_3,7867,Borazine (Bz) [B:3],B,3,-10.232869256612432,-8.91988588505021,1.312983371562222,11.876243647446874,-7.3001214117367486,1.3758468539468667,borinine
