ring_type,molecules,homo,lumo,gap,aip,aea,nfod,heteroatom_density,heterocycle_fraction
cyclobutadiene,178355,-10.24704095805859,-9.07670088924084,1.1703400688177512,11.902425925556358,-7.447909146577601,1.5006549314254316,0.09940445626584063,0.4009349353638833
pyrrole,182161,-10.22332720389046,-8.895092181018056,1.3282350228724042,11.884378699850785,-7.238073159429753,1.3049353421393592,0.11367875511466062,0.5023692912331259
borole,181013,-10.389594918571154,-9.316930194744135,1.072664723827018,12.034697355098936,-7.646355576195629,1.592723585213178,0.11355584804042874,0.5025418063895963
furan,180561,-10.367896643844905,-9.004187106989715,1.3637095368551901,12.039603850437027,-7.341967770144824,1.2737373616696022,0.11544665447934366,0.5014016104833059
thiophene,182846,-10.321739044645767,-8.98612324550135,1.3356157991444166,11.984984980469282,-7.333039561198093,1.3177903610965258,0.11569169044399413,0.502098923476066
dhdiborinine,160773,-10.4559816823726,-9.40324763224167,1.05273405013093,12.073041906010129,-7.776520385115759,1.6518365814060536,0.12750690253676228,0.5026622051854833
14diborinine,180057,-9.939844261107982,-8.944278744024615,0.9955655170833682,11.61625102629308,-7.367403791002591,1.6741958732539088,0.13209188347283868,0.5033304929629426
pyrazine,175284,-10.422430349249163,-9.211800343996714,1.2106300052524472,12.066172679735837,-7.572415797703716,1.550468971871969,0.13205661142315284,0.5034785362385144
pyridine,182607,-10.40730935968402,-9.0988473031622,1.30846205652182,12.056014899505454,-7.467547150303361,1.4019371340321363,0.11175238070431098,0.502292782722476
borinine,184528,-10.238565086972004,-8.985113826901392,1.2534512600706125,11.879696094821021,-7.372907973597676,1.4284668077542149,0.11166870367709586,0.5020651014893082
benzene_only,799,-10.707784833842304,-8.691521114005006,2.0162637198372964,12.271345006739153,-7.135666352981643,0.787416145181477,0.0,0.0
