variant_label,variant,molecules,name,count,homo,lumo,gap,aip,aea,nfod
Borole (Bl) [B:4],borole__B_4,1,C2M383588,1,-9.67102879,-9.21113623,0.4598925600000001,11.201272124029916,-7.800483326561963,2.7835
"Dhydrodiborinine (DhDBn) [B:1,2]",dhdiborinine__B_1_2,3,C2M061526,2,-10.96309487,-9.97964852,0.9834463500000012,12.341071409892184,-8.598247559553984,2.7313
"Dhydrodiborinine (DhDBn) [B:1,2]",dhdiborinine__B_1_2,3,C2M105347,1,-10.35985598,-10.02180542,0.338050560000001,11.913853518348011,-8.655898992163982,3.2361
"Dhydrodiborinine (DhDBn) [B:1,2]",dhdiborinine__B_1_2,3,C2M450010,1,-10.94611023,-9.71163474,1.2344754900000012,12.46552710161614,-8.060180220513967,1.7684
"Dhydrodiborinine (DhDBn) [B:2,4]",dhdiborinine__B_2_4,1,C2M410567,1,-10.72476126,-9.15877481,1.5659864499999987,12.409325492398033,-7.444467600599946,1.122
"Dhydrodiborinine (DhDBn) [B:3,4]",dhdiborinine__B_3_4,3,C2M048878,1,-10.69042117,-9.88570408,0.8047170900000005,12.407674304645916,-8.373360849052066,2.7895
"Dhydrodiborinine (DhDBn) [B:3,4]",dhdiborinine__B_3_4,3,C2M061526,1,-10.96309487,-9.97964852,0.9834463500000012,12.341071409892184,-8.598247559553984,2.7313
"Dhydrodiborinine (DhDBn) [B:3,4]",dhdiborinine__B_3_4,3,C2M625499,1,-9.90161626,-9.08013841,0.8214778500000008,11.61720082205608,-7.448230937220035,1.9968
"DiBorinine (DBn) [B:3,4]",14diborinine__B_3_4,1,C2M383588,2,-9.67102879,-9.21113623,0.4598925600000001,11.201272124029916,-7.800483326561963,2.7835
"Pyrazine (Pz) [N:1,2]",pyrazine__N_1_2,1,C2M383588,1,-9.67102879,-9.21113623,0.4598925600000001,11.201272124029916,-7.800483326561963,2.7835
Pyrrole (Py) [N:4],pyrrole__N_4,1,C2M317107,1,-9.2106931,-8.42215785,0.7885352500000007,10.868991541718296,-6.88911068222797,1.5632
