,cyclobutadiene,pyrrole,borole,furan,thiophene,dhdiborinine,14diborinine,pyrazine,pyridine,borinine
cyclobutadiene,178355,57679,56563,56834,57920,49687,57382,54825,57697,58207
pyrrole,57679,182161,58570,57602,58480,52852,56865,56721,58381,58322
borole,56563,58570,181013,57148,57982,50637,57357,55624,57823,58668
furan,56834,57602,57148,180561,58202,50461,57021,55978,57468,58474
thiophene,57920,58480,57982,58202,182846,52156,57861,56412,58571,58582
dhdiborinine,49687,52852,50637,50461,52156,160773,52817,48097,51510,53339
14diborinine,57382,56865,57357,57021,57861,52817,180057,56471,58432,58107
pyrazine,54825,56721,55624,55978,56412,48097,56471,175284,56799,57516
pyridine,57697,58381,57823,57468,58571,51510,58432,56799,182607,58944
borinine,58207,58322,58668,58474,58582,53339,58107,57516,58944,184528
