ring_type,ring_count,molecule_count
cyclobutadiene,1,146105
cyclobutadiene,2,28689
cyclobutadiene,3,3309
cyclobutadiene,4,241
cyclobutadiene,5,11
pyrrole,1,150089
pyrrole,2,28710
pyrrole,3,3106
pyrrole,4,247
pyrrole,5,7
pyrrole,6,2
borole,1,148607
borole,2,28836
borole,3,3317
borole,4,238
borole,5,14
borole,6,1
furan,1,148625
furan,2,28518
furan,3,3172
furan,4,233
furan,5,13
thiophene,1,150239
thiophene,2,29128
thiophene,3,3230
thiophene,4,239
thiophene,5,9
thiophene,6,1
dhdiborinine,1,134192
dhdiborinine,2,23756
dhdiborinine,3,2622
dhdiborinine,4,191
dhdiborinine,5,12
14diborinine,1,149812
14diborinine,2,27371
14diborinine,3,2714
14diborinine,4,160
pyrazine,1,144685
pyrazine,2,27199
pyrazine,3,3167
pyrazine,4,215
pyrazine,5,18
pyridine,1,150337
pyridine,2,28763
pyridine,3,3265
pyridine,4,232
pyridine,5,10
borinine,1,151498
borinine,2,29442
borinine,3,3312
borinine,4,266
borinine,5,9
borinine,6,1
