dataset,feature_index,feature
with_ring_types,1,pas_total_rings
with_ring_types,2,pas_total_annulations
with_ring_types,3,pas_total_l
with_ring_types,4,pas_total_a
with_ring_types,5,pas_l_fraction
with_ring_types,6,pas_a_fraction
with_ring_types,7,pas_l_to_a_ratio
with_ring_types,8,pas_longest_l_run
with_ring_types,9,pas_longest_a_run
with_ring_types,10,pas_la_count
with_ring_types,11,pas_al_count
with_ring_types,12,pas_alternation_count
with_ring_types,13,pas_alternation_fraction
with_ring_types,14,pas_branch_count
with_ring_types,15,pas_branch_density
with_ring_types,16,pas_max_branch_depth
with_ring_types,17,pas_parenthesis_count
with_ring_types,18,pas_topology_length
with_ring_types,19,paper_lalas_number_of_rings
with_ring_types,20,paper_lalas_number_of_branching_points
with_ring_types,21,paper_lalas_lal_subsequence_count
with_ring_types,22,paper_lalas_l_ratio
with_ring_types,23,paper_lalas_longest_l
with_ring_types,24,paper_lalas_longest_l_degeneracy
with_ring_types,25,paper_lalas_upper_a_ratio
with_ring_types,26,paper_lalas_lower_to_upper_a_ratio
with_ring_types,27,paper_lalas_longest_upper_a
with_ring_types,28,paper_lalas_longest_a_case_insensitive
with_ring_types,29,pas_donor_ring_count
with_ring_types,30,pas_acceptor_ring_count
with_ring_types,31,pas_donor_acceptor_balance
with_ring_types,32,pas_donor_acceptor_ratio
with_ring_types,33,pas_donor_fraction
with_ring_types,34,pas_acceptor_fraction
with_ring_types,35,pas_terminal_non_benzene_count
with_ring_types,36,pas_middle_non_benzene_count
with_ring_types,37,pas_branch_non_benzene_count
with_ring_types,38,pas_terminal_heterocycle_count
with_ring_types,39,pas_middle_heterocycle_count
with_ring_types,40,pas_branch_heterocycle_count
with_ring_types,41,pas_terminal_donor_count
with_ring_types,42,pas_middle_donor_count
with_ring_types,43,pas_branch_donor_count
with_ring_types,44,pas_terminal_acceptor_count
with_ring_types,45,pas_middle_acceptor_count
with_ring_types,46,pas_branch_acceptor_count
with_ring_types,47,heterocycle_fraction
with_ring_types,48,heteroatom_density
with_ring_types,49,aromatic_ring_fraction
with_ring_types,50,rings
with_ring_types,51,aromatic_rings
with_ring_types,52,atoms
with_ring_types,53,heteroatoms
with_ring_types,54,heterocycles
with_ring_types,55,branch
with_ring_types,56,cyclobutadiene
with_ring_types,57,pyrrole
with_ring_types,58,borole
with_ring_types,59,furan
with_ring_types,60,thiophene
with_ring_types,61,dhdiborinine
with_ring_types,62,14diborinine
with_ring_types,63,pyrazine
with_ring_types,64,pyridine
with_ring_types,65,borinine
with_ring_types,66,benzene
with_ring_types,67,h
with_ring_types,68,c
with_ring_types,69,b
with_ring_types,70,s
with_ring_types,71,o
with_ring_types,72,n
with_ring_types,73,pas_benzene_count
with_ring_types,74,pas_benzene_fraction
with_ring_types,75,pas_benzene_terminal_count
with_ring_types,76,pas_benzene_middle_count
with_ring_types,77,pas_benzene_branch_count
with_ring_types,78,pas_pyridine_count
with_ring_types,79,pas_pyridine_fraction
with_ring_types,80,pas_pyridine_terminal_count
with_ring_types,81,pas_pyridine_middle_count
with_ring_types,82,pas_pyridine_branch_count
with_ring_types,83,pas_pyrazine_count
with_ring_types,84,pas_pyrazine_fraction
with_ring_types,85,pas_pyrazine_terminal_count
with_ring_types,86,pas_pyrazine_middle_count
with_ring_types,87,pas_pyrazine_branch_count
with_ring_types,88,pas_thiophene_count
with_ring_types,89,pas_thiophene_fraction
with_ring_types,90,pas_thiophene_terminal_count
with_ring_types,91,pas_thiophene_middle_count
with_ring_types,92,pas_thiophene_branch_count
with_ring_types,93,pas_furan_count
with_ring_types,94,pas_furan_fraction
with_ring_types,95,pas_furan_terminal_count
with_ring_types,96,pas_furan_middle_count
with_ring_types,97,pas_furan_branch_count
with_ring_types,98,pas_borole_count
with_ring_types,99,pas_borole_fraction
with_ring_types,100,pas_borole_terminal_count
with_ring_types,101,pas_borole_middle_count
with_ring_types,102,pas_borole_branch_count
with_ring_types,103,pas_cyclobutadiene_count
with_ring_types,104,pas_cyclobutadiene_fraction
with_ring_types,105,pas_cyclobutadiene_terminal_count
with_ring_types,106,pas_cyclobutadiene_middle_count
with_ring_types,107,pas_cyclobutadiene_branch_count
with_ring_types,108,pas_pyrrole_count
with_ring_types,109,pas_pyrrole_fraction
with_ring_types,110,pas_pyrrole_terminal_count
with_ring_types,111,pas_pyrrole_middle_count
with_ring_types,112,pas_pyrrole_branch_count
with_ring_types,113,pas_dhdiborinine_count
with_ring_types,114,pas_dhdiborinine_fraction
with_ring_types,115,pas_dhdiborinine_terminal_count
with_ring_types,116,pas_dhdiborinine_middle_count
with_ring_types,117,pas_dhdiborinine_branch_count
with_ring_types,118,pas_14diborinine_count
with_ring_types,119,pas_14diborinine_fraction
with_ring_types,120,pas_14diborinine_terminal_count
with_ring_types,121,pas_14diborinine_middle_count
with_ring_types,122,pas_14diborinine_branch_count
with_ring_types,123,pas_borinine_count
with_ring_types,124,pas_borinine_fraction
with_ring_types,125,pas_borinine_terminal_count
with_ring_types,126,pas_borinine_middle_count
with_ring_types,127,pas_borinine_branch_count
hidden_rng,1,pas_total_rings
hidden_rng,2,pas_total_annulations
hidden_rng,3,pas_total_l
hidden_rng,4,pas_total_a
hidden_rng,5,pas_l_fraction
hidden_rng,6,pas_a_fraction
hidden_rng,7,pas_l_to_a_ratio
hidden_rng,8,pas_longest_l_run
hidden_rng,9,pas_longest_a_run
hidden_rng,10,pas_la_count
hidden_rng,11,pas_al_count
hidden_rng,12,pas_alternation_count
hidden_rng,13,pas_alternation_fraction
hidden_rng,14,pas_branch_count
hidden_rng,15,pas_branch_density
hidden_rng,16,pas_max_branch_depth
hidden_rng,17,pas_parenthesis_count
hidden_rng,18,pas_topology_length
hidden_rng,19,paper_lalas_number_of_rings
hidden_rng,20,paper_lalas_number_of_branching_points
hidden_rng,21,paper_lalas_lal_subsequence_count
hidden_rng,22,paper_lalas_l_ratio
hidden_rng,23,paper_lalas_longest_l
hidden_rng,24,paper_lalas_longest_l_degeneracy
hidden_rng,25,paper_lalas_upper_a_ratio
hidden_rng,26,paper_lalas_lower_to_upper_a_ratio
hidden_rng,27,paper_lalas_longest_upper_a
hidden_rng,28,paper_lalas_longest_a_case_insensitive
hidden_rng,29,pas_donor_ring_count
hidden_rng,30,pas_acceptor_ring_count
hidden_rng,31,pas_donor_acceptor_balance
hidden_rng,32,pas_donor_acceptor_ratio
hidden_rng,33,pas_donor_fraction
hidden_rng,34,pas_acceptor_fraction
hidden_rng,35,pas_terminal_non_benzene_count
hidden_rng,36,pas_middle_non_benzene_count
hidden_rng,37,pas_branch_non_benzene_count
hidden_rng,38,pas_terminal_heterocycle_count
hidden_rng,39,pas_middle_heterocycle_count
hidden_rng,40,pas_branch_heterocycle_count
hidden_rng,41,pas_terminal_donor_count
hidden_rng,42,pas_middle_donor_count
hidden_rng,43,pas_branch_donor_count
hidden_rng,44,pas_terminal_acceptor_count
hidden_rng,45,pas_middle_acceptor_count
hidden_rng,46,pas_branch_acceptor_count
hidden_rng,47,heterocycle_fraction
hidden_rng,48,heteroatom_density
hidden_rng,49,aromatic_ring_fraction
hidden_rng,50,rings
hidden_rng,51,aromatic_rings
hidden_rng,52,atoms
hidden_rng,53,heteroatoms
hidden_rng,54,heterocycles
hidden_rng,55,branch
hidden_rng,56,cyclobutadiene
hidden_rng,57,pyrrole
hidden_rng,58,borole
hidden_rng,59,furan
hidden_rng,60,thiophene
hidden_rng,61,dhdiborinine
hidden_rng,62,14diborinine
